epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9385,1.17674,1.45624,1.22532,0.66011,0.494,0.56771,0.42826,1.06615,1.02108,1.10877,8.33e-06,8.33e-06,8.33e-06
2,118.212,1.17986,1.31294,1.25363,0.69409,0.32297,0.36603,0.26462,1.056,0.99373,1.09985,1.71431e-05,1.71431e-05,1.71431e-05
3,174.822,1.23763,1.35252,1.26335,0.69514,0.3001,0.32741,0.236,1.05167,0.97842,1.09585,2.52023e-05,2.52023e-05,2.52023e-05
4,233.26,1.10281,1.27297,1.21614,0.71154,0.28896,0.31709,0.22902,1.04638,0.96399,1.09236,3.25075e-05,3.25075e-05,3.25075e-05
5,288.63,1.11383,1.14255,1.19551,0.75099,0.28319,0.31671,0.22989,1.03312,0.94081,1.08346,3.90587e-05,3.90587e-05,3.90587e-05
6,346.323,1.08136,1.12843,1.20675,0.76517,0.24453,0.26527,0.19758,1.02109,0.92022,1.07613,4.48559e-05,4.48559e-05,4.48559e-05
